SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.89257443, 0.07326002, 0.41032308, 1.35738921, -6.16940880, 6.93741846, 0.00000000, 0.00000000, 0.00000000, -170.30418396, 64.15576935, -113.04662323, -0.48088655, -0.42827564, 0.72899234, 0.23216020, 0.00740791, 0.00015797, 0.01937655, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0025, 1, 0.88874763, 0.06743336, 0.40782729, 1.56791544, -5.54110718, 6.94296455, 0.00000000, 0.00000000, 0.00000000, -170.33079529, 64.17233276, -113.08054352, -0.48095417, -0.42812070, 0.72900701, 0.23225987, 0.01136071, 0.00574135, 0.02164963, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 2, 0.89172322, 0.06358020, 0.40637046, 1.63870263, -5.40074348, 6.87472916, 0.00000000, 0.00000000, 0.00000000, -170.35704041, 64.18850708, -113.11424255, -0.48102054, -0.42796680, 0.72902286, 0.23235638, 0.00850827, 0.00935518, 0.02288920, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0075, 3, 0.89131713, 0.05973254, 0.40147710, 1.56716919, -5.12242413, 6.87513494, 0.00000000, 0.00000000, 0.00000000, -170.38372803, 64.20404816, -113.14824677, -0.48108175, -0.42781499, 0.72904116, 0.23245141, 0.00903201, 0.01296217, 0.02757625, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 4, 0.89139342, 0.05490647, 0.39804378, 1.49521768, -4.84471369, 6.94530249, 0.00000000, 0.00000000, 0.00000000, -170.41123962, 64.21887207, -113.18294525, -0.48113760, -0.42766431, 0.72906274, 0.23254576, 0.00906849, 0.01754339, 0.03081451, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0125, 5, 0.89048541, 0.05104498, 0.39460745, 1.63556838, -4.42584515, 6.94899988, 0.00000000, 0.00000000, 0.00000000, -170.43881226, 64.23267365, -113.21810913, -0.48118800, -0.42751417, 0.72908938, 0.23263398, 0.01008123, 0.02116247, 0.03407172, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 6, 0.89298409, 0.04915154, 0.39023453, 1.63504601, -3.93687367, 6.81172991, 0.00000000, 0.00000000, 0.00000000, -170.46614075, 64.24520874, -113.25299835, -0.48123124, -0.42736861, 0.72911984, 0.23271617, 0.00767761, 0.02281877, 0.03828481, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0175, 7, 0.89396369, 0.04818329, 0.39072451, 1.84718382, -3.58607030, 6.67646313, 0.00000000, 0.00000000, 0.00000000, -170.49258423, 64.25681305, -113.28746796, -0.48127162, -0.42722479, 0.72915381, 0.23279032, 0.00678599, 0.02355916, 0.03764805, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 8, 0.89248073, 0.04718243, 0.39362970, 1.91780722, -3.23606062, 6.53943014, 0.00000000, 0.00000000, 0.00000000, -170.51846313, 64.26748657, -113.32154083, -0.48130777, -0.42708418, 0.72919053, 0.23285864, 0.00834990, 0.02433883, 0.03460974, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0225, 9, 0.89302748, 0.04429988, 0.39021009, 1.91686702, -2.74769831, 6.47192287, 0.00000000, 0.00000000, 0.00000000, -170.54444885, 64.27693176, -113.35569000, -0.48133647, -0.42694715, 0.72923172, 0.23292170, 0.00787467, 0.02700281, 0.03791536, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0250, 10, 0.89502424, 0.04239262, 0.38729420, 1.91634464, -2.25872707, 6.33465147, 0.00000000, 0.00000000, 0.00000000, -170.58712769, 64.29791260, -113.40928650, -0.48141116, -0.42672139, 0.72927040, 0.23305969, 0.00603682, 0.02853719, 0.04055879, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0275, 11, 0.89504230, 0.04142959, 0.38631535, 1.91727006, -1.83760834, 5.98777151, 0.00000000, 0.00000000, 0.00000000, -170.61146545, 64.30487823, -113.44161224, -0.48142779, -0.42659661, 0.72931659, 0.23310918, 0.00607139, 0.02930058, 0.04145942, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 12, 0.89697540, 0.04240409, 0.38730997, 1.70563924, -1.76790178, 5.84592152, 0.00000000, 0.00000000, 0.00000000, -170.63566589, 64.31161499, -113.47320557, -0.48144212, -0.42647675, 0.72936118, 0.23315991, 0.00418937, 0.02812808, 0.04039002, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0325, 13, 0.89989716, 0.04192882, 0.38830519, 1.63497150, -1.34839737, 5.63768339, 0.00000000, 0.00000000, 0.00000000, -170.65936279, 64.31722260, -113.50404358, -0.48145005, -0.42636296, 0.72940773, 0.23320563, 0.00130999, 0.02841213, 0.03933677, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0350, 14, 0.90086299, 0.04143843, 0.38977155, 1.49412823, -1.13832700, 5.42759705, 0.00000000, 0.00000000, 0.00000000, -170.68252563, 64.32221985, -113.53387451, -0.48145443, -0.42625511, 0.72945386, 0.23324946, 0.00038201, 0.02871694, 0.03782108, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0375, 15, 0.90278310, 0.04386842, 0.39077353, 1.42407262, -0.78789294, 5.14927387, 0.00000000, 0.00000000, 0.00000000, -170.70472717, 64.32625580, -113.56246948, -0.48145401, -0.42615417, 0.72950077, 0.23328821, -0.00150758, 0.02611101, 0.03678379, 0.00000000, 0.00000000, 0.00000000, 0.00000000
