SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0001, 0, 0.77829570, 0.13813315, 0.66445589, 3.02612472, -2.59317350, 1.76222253, 0.00000000, 0.00000000, 0.00000000, -169.88928223, 48.97771072, -152.29006958, -0.42009339, -0.18161203, 0.88887405, 0.02101762, -0.02384145, -0.02290917, -0.01829613, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0024, 1, 0.78070176, 0.13812190, 0.66788447, 2.81071854, -1.61946487, 1.83384585, 0.00000000, 0.00000000, 0.00000000, -169.88662720, 48.98250961, -152.29585266, -0.42013505, -0.18154994, 0.88886768, 0.02098634, -0.02619267, -0.02287907, -0.02179229, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0049, 2, 0.77919286, 0.14003205, 0.67080438, 2.87872982, -0.78352785, 1.90835547, 0.00000000, 0.00000000, 0.00000000, -169.88442993, 48.98527145, -152.30247498, -0.42016080, -0.18148619, 0.88886935, 0.02095111, -0.02465212, -0.02477087, -0.02475250, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0074, 3, 0.77817208, 0.14243387, 0.67324364, 2.59314823, -0.01925320, 1.97813034, 0.00000000, 0.00000000, 0.00000000, -169.88352966, 48.98619461, -152.30989075, -0.42017058, -0.18142405, 0.88887817, 0.02091903, -0.02362078, -0.02716470, -0.02720547, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0099, 4, 0.77666783, 0.14434765, 0.67567647, 2.30634260, 0.88316196, 2.18807387, 0.00000000, 0.00000000, 0.00000000, -169.88439941, 48.98498154, -152.31869507, -0.42016155, -0.18136087, 0.88889599, 0.02089086, -0.02213043, -0.02908553, -0.02962077, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0124, 5, 0.77520442, 0.14433905, 0.67566460, 1.87924647, 1.64664340, 2.25608325, 0.00000000, 0.00000000, 0.00000000, -169.88693237, 48.98192596, -152.32826233, -0.42013600, -0.18130064, 0.88892084, 0.02086858, -0.02070213, -0.02909825, -0.02956415, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0149, 6, 0.77079076, 0.14429498, 0.67806405, 1.59285891, 2.54966736, 2.39626455, 0.00000000, 0.00000000, 0.00000000, -169.89102173, 48.97668839, -152.33895874, -0.42009181, -0.18124074, 0.88895452, 0.02084957, -0.01634825, -0.02908815, -0.03188766, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0174, 7, 0.76738411, 0.14232691, 0.67900062, 1.16589689, 2.96353555, 2.60218906, 0.00000000, 0.00000000, 0.00000000, -169.89695740, 48.97053528, -152.35069275, -0.42003775, -0.18118092, 0.88899249, 0.02083909, -0.01301217, -0.02717288, -0.03273261, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0199, 8, 0.76252419, 0.14133522, 0.67798227, 0.80830419, 3.72558689, 2.88036847, 0.00000000, 0.00000000, 0.00000000, -169.90495300, 48.96263123, -152.36398315, -0.41996735, -0.18111935, 0.88903838, 0.02083508, -0.00824285, -0.02625319, -0.03159560, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0224, 9, 0.75817519, 0.13987583, 0.67501760, 0.38217789, 4.14067268, 2.94676781, 0.00000000, 0.00000000, 0.00000000, -169.91441345, 48.95373154, -152.37777710, -0.41988721, -0.18106057, 0.88908815, 0.02083831, -0.00399578, -0.02488000, -0.02849657, 0.00000000, 0.00000000, 0.00000000, 0.00000000
