SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.04201304, -0.07715151, -0.98738056, -2.15562677, 1.45098615, 2.38428187, -52.49926758, 37.79596710, -73.07804871, 4.76188850, -2.18555999, -101.46802521, 0.63287359, -0.01153623, 0.04421798, 0.77290535, 0.00387709, -0.00580306, -0.00844282, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0025, 1, -0.04457422, -0.08229642, -0.98267889, -2.08695889, 1.44833887, 2.73397708, -52.49926758, 37.79596710, -73.07804871, 4.75640059, -2.18251872, -101.46090698, 0.63292158, -0.01152920, 0.04416348, 0.77286923, 0.00649131, -0.00056292, -0.01315439, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 2, -0.04496697, -0.08537288, -0.97709686, -2.01767898, 1.37662125, 3.01358747, -52.49926758, 37.79596710, -73.07804871, 4.75105906, -2.17971373, -101.45310974, 0.63297427, -0.01152164, 0.04411121, 0.77282923, 0.00693297, 0.00260621, -0.01874608, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0075, 3, -0.04754451, -0.08882064, -0.97226477, -1.95042872, 1.58179379, 3.50377345, -52.49926758, 37.79596710, -73.07804871, 4.74583864, -2.17649817, -101.44404602, 0.63303536, -0.01151801, 0.04405736, 0.77278233, 0.00956660, 0.00614452, -0.02358782, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 4, -0.04471622, -0.09367134, -0.97019690, -1.60117877, 1.85701418, 4.13733673, -52.17772675, 37.62057877, -72.61034393, 4.74143028, -2.17272711, -101.43334198, 0.63310730, -0.01152323, 0.04400576, 0.77272624, 0.00680409, 0.01107165, -0.02566451, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0125, 5, -0.04261450, -0.09791166, -0.96922749, -1.25028718, 1.99470294, 4.56096888, -52.17772675, 37.62057877, -72.61034393, 4.73785782, -2.16869950, -101.42156982, 0.63318640, -0.01153520, 0.04395828, 0.77266395, 0.00477260, 0.01537383, -0.02664167, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 6, -0.04467129, -0.09803326, -0.97082764, -0.54725045, 2.27190709, 5.19894505, -52.17772675, 37.62057877, -72.61034393, 4.73598242, -2.16411257, -101.40813446, 0.63327634, -0.01156096, 0.04391898, 0.77259207, 0.00690939, 0.01552779, -0.02504725, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0175, 7, -0.05065735, -0.09319116, -0.97426033, -0.12106444, 2.13675523, 4.99430847, -52.17772675, 37.62057877, -72.61034393, 4.73519278, -2.15981960, -101.39524841, 0.63336265, -0.01159051, 0.04388868, 0.77252275, 0.01297032, 0.01069916, -0.02161861, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 8, -0.05260741, -0.08843847, -0.97875690, 0.37916234, 1.72693622, 4.37069225, -52.17772675, 37.62057877, -72.61034393, 4.73571777, -2.15641952, -101.38398743, 0.63343787, -0.01162067, 0.04387232, 0.77246153, 0.01497969, 0.00593717, -0.01712346, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0225, 9, -0.05306865, -0.08744360, -0.98240840, 0.66808695, 0.96753210, 3.74281716, -52.61619186, 38.32212830, -72.99035645, 4.73702955, -2.15478182, -101.37445068, 0.63350171, -0.01164263, 0.04387115, 0.77240890, 0.01546949, 0.00491942, -0.01347113, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0250, 10, -0.04976365, -0.08497193, -0.98590016, 0.88731378, 0.27923670, 2.90509510, -52.61619186, 38.32212830, -72.99035645, 4.73897314, -2.15468574, -101.36715698, 0.63355064, -0.01165682, 0.04388298, 0.77236784, 0.01216616, 0.00241396, -0.00997663, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0275, 11, -0.05106860, -0.08482929, -0.98980623, 0.89382082, -0.55082452, 2.20360589, -52.61619186, 38.32212830, -72.99035645, 4.74100542, -2.15651321, -101.36177826, 0.63358700, -0.01165778, 0.04390622, 0.77233666, 0.01343924, 0.00223608, -0.00606650, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 12, -0.05091918, -0.08419653, -0.99321109, 0.97069734, -1.24113095, 1.50364316, -52.61619186, 38.32212830, -72.99035645, 4.74330044, -2.15991664, -101.35829163, 0.63361090, -0.01164884, 0.04394012, 0.77231526, 0.01323047, 0.00156363, -0.00265604, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0325, 13, -0.05299143, -0.08298668, -0.99443918, 0.90644681, -2.07158828, 0.80127144, -52.61619186, 38.32212830, -72.99035645, 4.74550724, -2.16524363, -101.35671234, 0.63362223, -0.01162570, 0.04398423, 0.77230382, 0.01520981, 0.00031570, -0.00142127, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0350, 14, -0.05309449, -0.08443832, -0.99505627, 0.84245032, -2.69179177, -0.03965917, -52.58696365, 38.38058853, -72.84420013, 4.74763870, -2.17194200, -101.35736847, 0.63361877, -0.01159203, 0.04403562, 0.77230424, 0.01519605, 0.00173067, -0.00079668, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0375, 15, -0.05159108, -0.08427645, -0.99930495, 0.70399499, -3.03793621, -0.39184684, -52.58696365, 38.38058853, -72.84420013, 4.74945974, -2.17942977, -101.35897827, 0.63360906, -0.01155095, 0.04408938, 0.77230972, 0.01356203, 0.00153756, 0.00345951, 0.00000000, 0.00000000, 0.00000000, 0.00000000
