SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.35884479, 0.02965663, 0.95323282, -2.92180896, 5.27094364, -2.86914420, 0.00000000, 0.00000000, 0.00000000, -179.17471313, 22.11531639, -144.66777039, -0.18489215, -0.29651201, 0.93554622, 0.05146760, 0.01762703, -0.01631178, -0.02690078, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0025, 1, 0.34869069, 0.02380365, 0.94922471, -3.41630507, 5.12941742, -2.94572878, 0.00000000, 0.00000000, 0.00000000, -179.18032837, 22.10238457, -144.66003418, -0.18476866, -0.29659164, 0.93554401, 0.05149226, 0.02757204, -0.01054852, -0.02280653, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 2, 0.34930474, 0.01022553, 0.94867325, -3.69775248, 4.71036530, -3.02095366, 0.00000000, 0.00000000, 0.00000000, -179.18658447, 22.09050369, -144.65205383, -0.18465199, -0.29667351, 0.93553931, 0.05152508, 0.02676586, 0.00292970, -0.02217561, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0075, 3, 0.34882164, 0.01022632, 0.94818234, -3.69758844, 4.50071907, -2.95215750, 0.00000000, 0.00000000, 0.00000000, -179.19288635, 22.07914925, -144.64425659, -0.18453951, -0.29675373, 0.93553418, 0.05155952, 0.02706531, 0.00282787, -0.02160871, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 4, 0.34882164, 0.01022632, 0.94818234, -3.69758844, 4.50071907, -2.95215750, 0.00000000, 0.00000000, 0.00000000, -179.19921875, 22.06779480, -144.63645935, -0.18442702, -0.29683396, 0.93552899, 0.05159397, 0.02688164, 0.00272678, -0.02153284, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0125, 5, 0.33462587, 0.01938687, 0.94470549, -3.77027106, 4.28763199, -2.53543162, 0.00000000, 0.00000000, 0.00000000, -179.20613098, 22.05698586, -144.62977600, -0.18431795, -0.29690570, 0.93552560, 0.05163295, 0.04090265, -0.00654466, -0.01798350, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 6, 0.33462587, 0.01938687, 0.94470549, -3.77027106, 4.28763199, -2.53543162, 0.00000000, 0.00000000, 0.00000000, -179.21305847, 22.04618263, -144.62312317, -0.18420886, -0.29697740, 0.93552208, 0.05167193, 0.04072782, -0.00665559, -0.01791126, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0175, 7, 0.34113720, 0.00783133, 0.93788034, -4.05141973, 3.30932045, -2.40394521, 0.00000000, 0.00000000, 0.00000000, -179.22077942, 22.03783035, -144.61674500, -0.18411776, -0.29704645, 0.93551522, 0.05172351, 0.03408132, 0.00477544, -0.01102966, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 8, 0.34113720, 0.00783133, 0.93788034, -4.05141973, 3.30932045, -2.40394521, 0.00000000, 0.00000000, 0.00000000, -179.22853088, 22.02947235, -144.61038208, -0.18402667, -0.29711550, 0.93550837, 0.05177510, 0.03394616, 0.00465094, -0.01097327, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0225, 9, 0.34290501, 0.02675330, 0.93945235, -4.33306122, 2.95994711, -2.47884822, 0.00000000, 0.00000000, 0.00000000, -179.23690796, 22.02198982, -144.60382080, -0.18394098, -0.29718685, 0.93549931, 0.05183440, 0.03205729, -0.01440572, -0.01249457, 0.00000000, 0.00000000, 0.00000000, 0.00000000
