SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.02581744, 0.01375057, 0.99917203, -3.27061033, 1.85683417, -0.75974792, 0.00000000, 0.00000000, 0.00000000, -179.26359558, 1.93953550, 140.82504272, 0.01379080, -0.33529362, -0.94193971, 0.01172794, 0.00802737, -0.00090448, 0.00017244, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0025, 1, 0.02681255, 0.01474856, 0.99626291, -3.27196860, 2.34458804, -0.75749362, 0.00000000, 0.00000000, 0.00000000, -179.27171326, 1.93365049, 140.82685852, 0.01376636, -0.33527768, -0.94194680, 0.01164377, 0.00692960, -0.00204403, 0.00308692, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 2, 0.02924358, 0.01671087, 0.99531841, -3.34289002, 2.55383730, -0.82717252, 0.00000000, 0.00000000, 0.00000000, -179.27999878, 1.92724037, 140.82885742, 0.01373812, -0.33526036, -0.94195455, 0.01155665, 0.00438676, -0.00415089, 0.00403696, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0075, 3, 0.03220183, 0.01479838, 0.99387133, -3.41481185, 2.97151542, -0.82612282, 0.00000000, 0.00000000, 0.00000000, -179.28846741, 1.91978645, 140.83081055, 0.01370182, -0.33524311, -0.94196230, 0.01146498, 0.00129849, -0.00238610, 0.00549030, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 4, 0.03321251, 0.01141161, 0.99337512, -3.13152814, 3.18335724, -0.96115136, 0.00000000, 0.00000000, 0.00000000, -179.29708862, 1.91185558, 140.83311462, 0.01366205, -0.33522326, -0.94197106, 0.01137071, 0.00014946, 0.00085048, 0.00599307, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0125, 5, 0.03326710, 0.00901136, 0.98995405, -2.99059558, 3.39318800, -0.95842010, 0.00000000, 0.00000000, 0.00000000, -179.30448914, 1.90334404, 140.83540344, 0.01361396, -0.33520350, -0.94197983, 0.01128472, -0.00005360, 0.00312172, 0.00942069, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 6, 0.03377334, 0.00854002, 0.98849463, -2.70859599, 3.46323586, -0.81504279, 0.00000000, 0.00000000, 0.00000000, -179.31120300, 1.89466226, 140.83732605, 0.01356239, -0.33518681, -0.94198745, 0.01120397, -0.00071128, 0.00347612, 0.01088643, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0175, 7, 0.03720927, 0.00564545, 0.98899454, -2.42617869, 3.53389263, -0.74142802, 0.00000000, 0.00000000, 0.00000000, -179.31719971, 1.88580585, 140.83908081, 0.01350733, -0.33517173, -0.94199455, 0.01112849, -0.00430171, 0.00626596, 0.01039285, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 8, 0.03817149, 0.00661786, 0.98949426, -2.28549933, 3.53346825, -0.60013795, 0.00000000, 0.00000000, 0.00000000, -179.32286072, 1.87695515, 140.84046936, 0.01345128, -0.33515957, -0.94200051, 0.01105586, -0.00541832, 0.00519474, 0.00989932, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0225, 9, 0.04012739, 0.00663299, 0.98902309, -2.21666694, 3.32117510, -0.18164669, 0.00000000, 0.00000000, 0.00000000, -179.32839966, 1.86864758, 140.84083557, 0.01339919, -0.33515599, -0.94200337, 0.01098607, -0.00751913, 0.00508321, 0.01037646, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0250, 10, 0.04110876, 0.00810884, 0.98709035, -2.07743573, 3.38860369, 0.16925284, 0.00000000, 0.00000000, 0.00000000, -179.33361816, 1.86018157, 140.84031677, 0.01334478, -0.33515969, -0.94200361, 0.01091855, -0.00864818, 0.00351653, 0.01231504, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0275, 11, 0.04017473, 0.00715835, 0.98366874, -2.00737977, 3.03816962, 0.44757509, 0.00000000, 0.00000000, 0.00000000, -179.33866882, 1.85259962, 140.83911133, 0.01329713, -0.33516902, -0.94200170, 0.01085495, -0.00784641, 0.00437885, 0.01574195, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 12, 0.03967753, 0.00714817, 0.98463875, -1.93726397, 2.96766949, 0.58766049, 0.00000000, 0.00000000, 0.00000000, -179.34356689, 1.84519780, 140.83755493, 0.01325044, -0.33518124, -0.94199872, 0.01079327, -0.00747834, 0.00430372, 0.01477713, 0.00000000, 0.00000000, 0.00000000, 0.00000000
