(0.00023220860581588666, -1.469601569300545, 229.12320898145256, 232.9)	(0.004901401182408377, -2.1224718826689424, 213.9884303414655, 280.6)	(-0.005890894886583632, -0.20133296196271203, 185.73724442528138, 252.8)	(-0.004659495147115489, -0.2839345255520619, 166.7530623004509, 249.2)	(-0.0015467296093938376, -1.1660421428544625, 229.67542903185503, 236.4)	
(-0.0007967504825039864, -1.3177787875360867, 233.06006479480334, 222.4)	(-0.0075052687439335726, -0.008115209882936772, 208.96530264553337, 255.5)	(0.0016690004506948752, -1.4586955640429256, 190.75615207079326, 255.2)	(0.0010684921782789254, -1.2130976146124701, 167.38140092504653, 251.5)	(0.0027999491864711093, -1.7125838980972952, 206.82873463245792, 247.6)	
(0.0019780158861819443, -1.8466583969881376, 246.4916030561087, 214.5)	(-0.006936163886905326, -0.15976364521200784, 214.33296390006882, 253.9)	(-6.001840647489306e-05, -1.2332808330644944, 200.82687853442746, 246.2)	(-0.0011243106424996593, -0.8740249707586144, 170.86876346312073, 250.4)	(-0.005835938264602099, -0.3850853629097831, 223.05196615702488, 237.2)	
(0.0028908262285026382, -2.0157614207676047, 246.65060538578913, 212.7)	(-0.0024565875344067117, -0.9446939927283493, 216.90105472389948, 252.7)	(-0.000470142171317157, -1.220222303133226, 206.17214682415474, 246.4)	(-0.00029148166149610557, -1.0898327505801928, 179.60024891336602, 247.8)	(0.005031317952038417, -2.308596529501279, 243.2829115812191, 229.4)	
(0.0028908262285026382, -2.0157614207676047, 246.65060538578913, 212.7)	(-0.0024565875344067117, -0.9446939927283493, 216.90105472389948, 252.7)	(-0.000470142171317157, -1.220222303133226, 206.17214682415474, 246.4)	(-0.00029148166149610557, -1.0898327505801928, 179.60024891336602, 247.8)	(0.005031317952038417, -2.308596529501279, 243.2829115812191, 229.4)	
(0.0019027156262614515, -1.9128903849218288, 256.89525658450873, 205.4)	(-0.004981519713713906, -0.4441715948303018, 202.13964400649968, 257.5)	(0.004079432063858813, -1.8917636558539415, 196.2177447179608, 254.1)	(0.003670276376573467, -1.7166181589162215, 178.07278672070885, 249.2)	(0.005044710281868397, -2.473248683615997, 265.77074586406263, 226.2)	
(0.00150370784376498, -1.870936660433566, 263.17079619635996, 201.6)	(0.0005903434907071872, -1.6430320197992745, 254.2234666690037, 246.8)	(0.00018156449148065552, -1.3258552766734137, 207.48918444823354, 246.5)	(-0.0001874571574288921, -1.1277098687852114, 185.36980758966317, 243.0)	(0.003289403649196318, -2.1439940757220928, 262.3017002029241, 225.3)	
(-0.0016155567029465523, -1.2724825388555763, 249.5264970794174, 207.8)	(-0.005721803185905268, -0.38468913403139876, 216.8016148201644, 267.6)	(-0.0007528875521558414, -1.098011987956629, 196.85191404461247, 248.2)	(-0.0020001209560458664, -0.7558376585794557, 173.30189839965902, 247.1)	(-0.0010681773721360605, -1.487263118119621, 268.65349572941994, 223.6)	
(0.003151805826305189, -2.065593846464954, 250.21444094183468, 208.2)	(0.0013188309943060784, -1.579318030420391, 220.13953556334056, 270.5)	(-0.00018780593040958855, -1.214068011413566, 199.69052171028264, 250.1)	(0.0013060254009217812, -1.3311294835064775, 178.66040754279376, 246.0)	(0.005180662739051617, -2.479972086855362, 265.7457323804295, 223.8)	
(0.0016961286584057562, -1.8604980809055593, 254.44035615962216, 205.2)	(-0.001963819544415146, -0.994316852622868, 212.5984967450246, 271.6)	(0.0007291122461495405, -1.3521617189361304, 196.01746489465924, 252.0)	(0.001080432440240231, -1.2923240465018369, 176.87510694765226, 249.3)	(0.00666501695626463, -2.7489743417684305, 271.24223476279167, 220.0)	
